Data from B.p.hirsuta_ven_HW_orange_left_4_Reflection__0__15.txt Node

Date: Tue Dec 13 09:47:44 EST 2022
User: abbyrobinson
Spectrometer: USB2G8287
Scans to average: 10
Trigger mode: 4
Integration Time (sec): 1.000000E-1
Electric dark correction enabled: true
Boxcar width: 5
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
177.272	82.14
177.658	91.06
178.044	130.58
178.43	-357.14
178.816	2278.57
179.203	1121.43
179.589	615.07
179.975	228.18
180.361	233.15
180.747	244.12
181.133	213.04
181.519	12.5
181.904	91.06
182.29	-20.88
182.676	-180.69
183.062	-5320
183.447	-61300
183.833	-496.33
184.219	263.83
184.604	164.71
184.99	146.04
185.375	65.88
185.761	34.67
186.146	22.99
186.531	25.96
186.917	11.92
187.302	4.98
187.687	0.05
188.073	8.56
188.458	15.48
188.843	10.42
189.228	17.39
189.613	15.98
189.998	25.04
190.383	23.41
190.768	22.64
191.153	22.77
191.538	23.55
191.923	22.51
192.307	22.75
192.692	24.15
193.077	23.61
193.461	22.35
193.846	23.46
194.231	16.48
194.615	16
195	23.4
195.384	26.11
195.769	22.94
196.153	27.56
196.537	27.55
196.922	18.3
197.306	20.47
197.69	15.44
198.074	16.3
198.458	18.73
198.843	19.38
199.227	6.29
199.611	8.78
199.995	4.64
200.379	2.35
200.763	1.17
201.146	6.91
201.53	5.51
201.914	8.92
202.298	3.92
202.681	-3.73
203.065	-12.08
203.449	-8.28
203.832	-7.99
204.216	-4.79
204.599	-0.89
204.983	-1.51
205.366	-0.27
205.75	-0.93
206.133	-7.22
206.516	-6.89
206.9	0.95
207.283	6.74
207.666	10.82
208.049	1.21
208.432	1.69
208.815	-5
209.198	-5.09
209.581	-10.94
209.964	0.58
210.347	8.23
210.73	11.22
211.113	14
211.496	17.72
211.879	14.91
212.261	14.18
212.644	15.62
213.027	14.35
213.409	13.42
213.792	14.52
214.174	10.32
214.557	5.6
214.939	3.32
215.322	-2.81
215.704	-5.26
216.086	1.69
216.469	8.23
216.851	9.07
217.233	13.1
217.615	16.57
217.997	22.2
218.379	22.63
218.761	27.03
219.143	27.86
219.525	33.51
219.907	25.42
220.289	19.6
220.671	18.04
221.053	19.13
221.435	23.04
221.816	24.54
222.198	17.31
222.58	11.74
222.961	10.24
223.343	10.4
223.724	9.16
224.106	12.97
224.487	14.61
224.869	14.84
225.25	15.3
225.631	10.57
226.013	8.75
226.394	9.91
226.775	12.8
227.156	13.65
227.537	12.64
227.919	10.17
228.3	8.11
228.681	6.3
229.062	4.16
229.442	2.18
229.823	1.67
230.204	2.64
230.585	4.04
230.966	5.98
231.347	6.36
231.727	6.35
232.108	6.92
232.488	7.17
232.869	8.51
233.25	8.99
233.63	8.83
234.01	10.02
234.391	7.7
234.771	7.25
235.152	7.82
235.532	7.59
235.912	7.1
236.292	7.1
236.672	7.09
237.053	6.28
237.433	6.28
237.813	6.94
238.193	6.97
238.573	7.48
238.953	7.42
239.333	6.58
239.712	6.23
240.092	6.62
240.472	6.6
240.852	6.77
241.231	6.97
241.611	7.06
241.991	6.77
242.37	6.45
242.75	6.47
243.129	6.64
243.509	6.84
243.888	7.04
244.267	7.07
244.647	7.18
245.026	7
245.405	6.99
245.784	7.04
246.164	7.18
246.543	7.2
246.922	7.14
247.301	6.97
247.68	6.8
248.059	6.54
248.438	6.47
248.817	6.38
249.195	6.53
249.574	6.48
249.953	6.43
250.332	6.19
250.71	6.2
251.089	6.31
251.468	6.27
251.846	6.24
252.225	6.31
252.603	6.18
252.982	6.1
253.36	6.04
253.738	6.01
254.117	5.94
254.495	5.96
254.873	6
255.251	6.01
255.63	5.98
256.008	6.08
256.386	6.03
256.764	6.03
257.142	6.05
257.52	6
257.898	5.91
258.276	5.88
258.653	5.89
259.031	5.84
259.409	5.73
259.787	5.84
260.164	5.8
260.542	5.88
260.92	5.89
261.297	5.9
261.675	5.99
262.052	6.06
262.43	6.14
262.807	6.1
263.184	6.17
263.562	6.22
263.939	6.12
264.316	6.11
264.693	5.99
265.07	5.89
265.448	5.87
265.825	5.73
266.202	5.73
266.579	5.65
266.956	5.67
267.333	5.61
267.709	5.55
268.086	5.53
268.463	5.46
268.84	5.51
269.216	5.57
269.593	5.58
269.97	5.68
270.346	5.69
270.723	5.66
271.099	5.7
271.476	5.61
271.852	5.64
272.229	5.68
272.605	5.78
272.981	5.78
273.358	5.8
273.734	5.75
274.11	5.74
274.486	5.75
274.862	5.79
275.238	5.77
275.614	5.75
275.99	5.68
276.366	5.67
276.742	5.61
277.118	5.58
277.494	5.52
277.87	5.55
278.245	5.48
278.621	5.47
278.997	5.45
279.372	5.5
279.748	5.55
280.123	5.57
280.499	5.54
280.874	5.52
281.25	5.56
281.625	5.64
282	5.72
282.376	5.8
282.751	5.78
283.126	5.73
283.501	5.67
283.876	5.61
284.252	5.61
284.627	5.64
285.002	5.67
285.377	5.58
285.751	5.54
286.126	5.41
286.501	5.42
286.876	5.44
287.251	5.52
287.625	5.52
288	5.56
288.375	5.6
288.749	5.61
289.124	5.6
289.498	5.65
289.873	5.62
290.247	5.69
290.622	5.65
290.996	5.57
291.37	5.51
291.745	5.46
292.119	5.41
292.493	5.36
292.867	5.2
293.241	5.13
293.616	5.14
293.99	5.23
294.364	5.25
294.737	5.22
295.111	5.25
295.485	5.32
295.859	5.35
296.233	5.33
296.607	5.38
296.98	5.5
297.354	5.61
297.728	5.64
298.101	5.65
298.475	5.62
298.848	5.57
299.222	5.63
299.595	5.58
299.968	5.61
